FIPS10, County Name , City or Township Name ," Total Population, 2018 "," Population in Households, 2018 "," Population in Group Quarters, 2018 "," Households, 2018 "," Persons per Household, 2018 "
2701332210,Blue Earth,Judson township, 520 , 520 , -   , 220 ,2.36
2701334190,Blue Earth,Lake Crystal city," 2,545 "," 2,545 ", -   ," 1,084 ",2.35
2701336584,Blue Earth,Le Ray township, 717 , 713 , 4 , 298 ,2.39
2701337052,Blue Earth,Lime township," 1,013 "," 1,007 ", 6 , 358 ,2.81
2701337124,Blue Earth,Lincoln township, 188 , 188 , -   , 80 ,2.35
2701338870,Blue Earth,Lyra township, 298 , 298 , -   , 121 ,2.46
2701339176,Blue Earth,McPherson township, 448 , 448 , -   , 164 ,2.73
2701339320,Blue Earth,Madison Lake city," 1,216 "," 1,216 ", -   , 490 ,2.48
2701339878,Blue Earth,Mankato city (part)," 43,567 "," 39,787 "," 3,780 "," 17,215 ",2.31
2701339896,Blue Earth,Mankato township," 1,794 "," 1,790 ", 4 , 674 ,2.66
2701340310,Blue Earth,Mapleton city," 1,735 "," 1,670 ", 65 , 686 ,2.43
2701340328,Blue Earth,Mapleton township, 283 , 283 , -   , 102 ,2.77
2701341498,Blue Earth,Medo township, 344 , 340 , 4 , 130 ,2.62
2701343198,Blue Earth,Minnesota Lake city (part), 2 , 2 , -   , 1 ,2.00
2701347068,Blue Earth,North Mankato city (part), 5 , 5 , -   , 2 ,2.50
2701350200,Blue Earth,Pemberton city, 227 , 227 , -   , 86 ,2.64
2701351604,Blue Earth,Pleasant Mound township, 195 , 195 , -   , 88 ,2.22
2701353206,Blue Earth,Rapidan township," 1,074 "," 1,074 ", -   , 413 ,2.60
2701356824,Blue Earth,St. Clair city, 832 , 832 , -   , 294 ,2.83
2701359458,Blue Earth,Shelby township, 232 , 232 , -   , 96 ,2.42
2701360754,Blue Earth,Skyline city, 279 , 271 , 8 , 111 ,2.44
2701361240,Blue Earth,South Bend township," 1,616 "," 1,529 ", 87 , 661 ,2.31
2701362716,Blue Earth,Sterling township, 253 , 253 , -   , 103 ,2.46
