FIPS10,County Name,City Name,"Total Population, 2018","Population in Households, 2018","Population in Group Quarters, 2018","Households, 2018","Persons per Household, 2018"
2705700496,Hubbard,Akeley,451,451, -   ,196,2.3
2705735612,Hubbard,Laporte,111,111, -   ,56,1.98
2705745340,Hubbard,Nevis,416,412,4,185,2.23
2705749768,Hubbard,Park Rapids,4136,3998,138,2009,1.99
2705909370,Isanti,Cambridge,8977,8646,331,3523,2.45
2705931328,Isanti,Isanti,6031,6031, -   ,2181,2.77
2706105698,Itasca,Bigfork,439,384,55,197,1.95
2706107048,Itasca,Bovey,796,790,6,339,2.33
2706109316,Itasca,Calumet,348,348, -   ,154,2.26
2706112412,Itasca,Cohasset,2738,2734,4,1104,2.48
2706112502,Itasca,Coleraine,1947,1925,22,774,2.49
2706115310,Itasca,Deer River,925,887,38,405,2.19
2706118260,Itasca,Effie,131,131, -   ,52,2.52
2706125118,Itasca,Grand Rapids,11392,10681,711,5007,2.13
2706132570,Itasca,Keewatin,1033,1033, -   ,473,2.18
2706135648,Itasca,La Prairie,652,632,20,270,2.34
2706140418,Itasca,Marble,674,667,7,277,2.41
2706144980,Itasca,Nashwauk,962,961,1,453,2.12
2706162284,Itasca,Squaw Lake,102,102, -   ,39,2.62
2706164048,Itasca,Taconite,635,630,5,271,2.32
2706168080,Itasca,Warba,183,183, -   ,80,2.29
2706172184,Itasca,Zemple,89,89, -   ,29,3.07
2706301162,Jackson,Alpha,110,110, -   ,46,2.39
2706328700,Jackson,Heron Lake,672,672, -   ,303,2.22
2706331562,Jackson,Jackson,3407,3329,78,1572,2.12
2706334316,Jackson,Lakefield,1708,1676,32,778,2.15
2706348184,Jackson,Okabena,202,202, -   ,86,2.35
2706370258,Jackson,Wilder,56,56, -   ,24,2.33
2706525424,Kanabec,Grasston,168,168, -   ,57,2.95
2706544044,Kanabec,Mora,3598,3368,230,1542,2.18
2706548166,Kanabec,Ogilvie,358,358, -   ,158,2.27
2706552756,Kanabec,Quamba,116,116, -   ,40,2.9
2706702692,Kandiyohi,Atwater,1127,1104,23,468,2.36
2706706490,Kandiyohi,Blomkest,149,149, -   ,66,2.26
2706732372,Kandiyohi,Kandiyohi,477,474,3,199,2.38
2706734676,Kandiyohi,Lake Lillian,229,228,1,118,1.93
2706745682,Kandiyohi,New London,1390,1329,61,585,2.27
2706750344,Kandiyohi,Pennock,513,513, -   ,176,2.91
2706752558,Kandiyohi,Prinsburg,501,501, -   ,210,2.39
2706753296,Kandiyohi,Raymond,761,761, -   ,309,2.46
2706753710,Kandiyohi,Regal,33,33, -   ,19,1.74
2706761690,Kandiyohi,Spicer,1217,1196,21,547,2.19
2706763454,Kandiyohi,Sunburg,98,98, -   ,46,2.13
2706770420,Kandiyohi,Willmar,20096,19184,912,7870,2.44
2706916030,Kittson,Donaldson,36,36, -   ,15,2.4
2706926576,Kittson,Hallock,927,861,66,437,1.97
2706926612,Kittson,Halma,48,48, -   ,21,2.29
2706930446,Kittson,Humboldt,39,39, -   ,18,2.17
2706932444,Kittson,Karlstad,753,707,46,335,2.11
2706932732,Kittson,Kennedy,165,165, -   ,79,2.09
2706934136,Kittson,Lake Bronson,215,215, -   ,105,2.05
2706935378,Kittson,Lancaster,330,330, -   ,164,2.01
2706958144,Kittson,Saint Vincent,51,51, -   ,24,2.13
2707105680,Koochiching,Big Falls,210,210, -   ,124,1.69
2707131040,Koochiching,International Falls,6138,5964,174,2865,2.08
2707137592,Koochiching,Littlefork,616,570,46,264,2.16
2707143540,Koochiching,Mizpah,53,53, -   ,28,1.89
2707147122,Koochiching,Northome,176,172,4,85,2.02
2707153134,Koochiching,Ranier,587,570,17,295,1.93
2707304960,Lac qui Parle,Bellingham,150,150, -   ,77,1.95
2707307138,Lac qui Parle,Boyd,155,155, -   ,82,1.89
2707314968,Lac qui Parle,Dawson,1455,1389,66,673,2.06
2707338258,Lac qui Parle,Louisburg,37,37, -   ,15,2.47
2707339266,Lac qui Parle,Madison,1459,1372,87,724,1.9
2707340526,Lac qui Parle,Marietta,143,143, -   ,76,1.88
2707345016,Lac qui Parle,Nassau,56,56, -   ,29,1.93
2707504456,Lake,Beaver Bay,180,180, -   ,86,2.09
2707560250,Lake,Silver Bay,1823,1747,76,839,2.08
2707565956,Lake,Two Harbors,3638,3511,127,1652,2.13
2707704024,Lake of the Woods,Baudette,1069,1023,46,486,2.1
2707770402,Lake of the Woods,Williams,177,177, -   ,83,2.13
2707911872,Le Sueur,Cleveland,735,735, -   ,287,2.56
2707928214,Le Sueur,Heidelberg,127,127, -   ,42,3.02
2707932462,Le Sueur,Kasota,679,679, -   ,299,2.27
2707933110,Le Sueur,Kilkenny,136,136, -   ,53,2.57
2707936134,Le Sueur,Le Center,2524,2467,57,931,2.65
2707943738,Le Sueur,Montgomery,3079,3072,7,1252,2.45
2707968584,Le Sueur,Waterville,1894,1815,79,803,2.26
2708101972,Lincoln,Arco,75,75, -   ,37,2.03
2708128430,Lincoln,Hendricks,709,652,57,328,1.99
2708131526,Lincoln,Ivanhoe,546,521,25,264,1.97
2708134100,Lincoln,Lake Benton,672,672, -   ,335,2.01
2708166046,Lincoln,Tyler,1119,1067,52,515,2.07
